Store Name,Borough,Latitude,Longitude,NTA
C-Town,Bronx,40.837267,-73.888016,Crotona Park East
La India Mini Market,Bronx,40.842942,-73.887136,East Tremont
Los Hermanos,Bronx,40.842391,-73.881835,East Tremont
Price Choice Food Market,Bronx,40.846173,-73.884871,East Tremont
D&A Deli Grocery,Bronx,40.839889,-73.875193,East Tremont
Lucky Star Gourmet Deli,Bronx,,,
Food Choice,Bronx,40.858274,-73.896071,Bedford Park-Fordham North
Cache Grocery,Bronx,40.844534,-73.887046,East Tremont
Associated Supermarket,Bronx,40.831441,-73.892279,Crotona Park East
AZ Deli,Bronx,40.825924,-73.89193,Hunts Point
Price Choice Food Market,Bronx,,,
Key Foods,Bronx,,,
Pioneer Supermarket,Bronx,,,
Compare Foods,Bronx,,,
Met Supermarket,Bronx,,,
EEJ Deli,Bronx,40.856355,-73.889094,Belmont
Santana,Bronx,40.85817,-73.892869,Claremont-Bathgate
FineFare,Bronx,40.834232,-73.89488,Crotona Park East
Deli Grocery,Bronx,40.863691,-73.894244,Bedford Park-Fordham North
965 Castillo Meat and Produce,Bronx,40.833364,-73.887683,Crotona Park East
Santos,Bronx,40.864814,-73.892048,Bedford Park-Fordham North
Alondra Food Corp.,Bronx,40.8457,-73.883911,East Tremont
Brianelly,Bronx,40.855606,-73.892808,Claremont-Bathgate
Emerald Food Store,Bronx,40.866359,-73.891673,Bedford Park-Fordham North
Bx Supermarket/Compare Foods,Bronx,40.864421,-73.891799,Bedford Park-Fordham North
1030 Deli & Food Corp,Bronx,40.840342,-73.88087,East Tremont
"Kelvin Food Mart, Inc",Bronx,40.853863,-73.883499,Belmont
Stop One,Bronx,40.856754,-73.887821,Belmont
A-Mart,Bronx,40.857023,-73.887585,Belmont
Modern Food,Bronx,40.855237,-73.887849,Belmont
Mickey & Elvis College,Bronx,40.854025,-73.883997,Belmont
Bronx Zoo Deli Corp,Bronx,40.853821,-73.883351,Belmont
548 Gourmet Deli,Bronx,40.854186,-73.891042,Claremont-Bathgate
Danery's Grocery Corp.,Bronx,40.841486,-73.891125,East Tremont
Will Grocery & Meat Market,Bronx,40.833029,-73.888186,Crotona Park East
A & G Gourmet Deli,Bronx,40.84641,-73.882688,East Tremont
Caña Arriba,Bronx,40.831953,-73.887823,Crotona Park East
885 East Tremont Deli,Bronx,40.842463,-73.885123,East Tremont
Pioneer Supermarket,Bronx,,,
Compare Foods,Bronx,,,
Tejada Castillo Food Corporation,Bronx,40.836404,-73.889409,Crotona Park East
Tony's Family,Bronx,40.854678,-73.891945,Claremont-Bathgate
Compare Foods,Bronx,40.86156,-73.896196,Bedford Park-Fordham North
20/20 Deli,Bronx,40.827058,-73.891896,Morrisania-Melrose
543 Deli,Bronx,40.812296,-73.90361,Longwood
908 Garcia Fruit and Grocery,Bronx,40.821006,-73.898026,Longwood
Alan Deli Grocery,Bronx,40.833138,-73.89559,Crotona Park East
Amelia Grocery,Bronx,40.822696,-73.900354,Longwood
Asociados Meat Market,Bronx,40.824114,-73.893017,Hunts Point
Associated Supermarket,Bronx,40.831441,-73.892279,Crotona Park East
Celia,Bronx,40.817424,-73.898101,Longwood
Crystal Grocery,Bronx,40.826005,-73.887826,Hunts Point
Deli Farm Meat and Grocery,Bronx,40.819376,-73.901378,Longwood
El Patio Grocery,Bronx,,,
Fair Farm,Bronx,40.822388,-73.896326,Longwood
