Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,45.2,41.8,48.9
Hispanic,Female,25.8,23.6,28.1
Asian and Pacific Islander Non-Hispanic,Male,35.9,26.3,47.9
Asian and Pacific Islander Non-Hispanic,Female,30.1,22.1,40
Black Non-Hispanic,Male,43.1,38.8,47.8
Black Non-Hispanic,Female,35.3,32.1,38.7
White Non-Hispanic,Male,46.8,40.7,53.8
White Non-Hispanic,Female,35.6,30.4,41.4
