Race,Percentage,CI (95%) - Down,CI (95%) - Upper
White Non-Hispanic,14.9,14.6,15.2
Black Non-Hispanic,20.5,19.7,21.3
American Indian ,16.5,14.9,18.3
Asian and Pacific Islanders,14.3,12.8,16.0
Hispanic,26.6,25.6,27.6
