Race,Percentage,CI (95%) - Down,CI (95%) - Upper
White Non-Hispanic,31.9,31.5,32.3
Black Non-Hispanic,42.5,41.5,43.6
American Indian ,38.3,36.0,40.7
Asian and Pacific Islanders,12.4,11.1,13.8
Hispanic,37.5,36.3,38.7
