Race,Percentage,CI (95%) - Down,CI (95%) - Upper
White Non-Hispanic,47.6,47.3,48.0
Black Non-Hispanic,37.1,36.1,38.0
American Indian ,42.8,40.3,45.4
Asian and Pacific Islanders,44.2,42.1,46.2
Hispanic,43.5,42.4,44.6
