Race,Percentage,CI (95%) - Down,CI (95%) - Upper
White Non-Hispanic,17.3,17.0,17.7
Black Non-Hispanic,11.2,10.6,11.9
American Indian ,15.7,13.9,17.7
Asian and Pacific Islanders,9.0,8.0,10.1
Hispanic,14.1,13.4,14.9
