Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,43.8,39.7,48.2
Hispanic,Female,28.5,25.7,31.5
Asian and Pacific Islander Non-Hispanic,Male,40.1,34.5,46.5
Asian and Pacific Islander Non-Hispanic,Female,27.3,23.3,31.9
Black Non-Hispanic,Male,55.1,48.7,62.2
Black Non-Hispanic,Female,32.4,28.4,36.8
White Non-Hispanic,Male,33.4,31.1,36
White Non-Hispanic,Female,26.2,24.2,28.3
