Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,13.6,11.3,16.1
Hispanic,Female,8,6.6,9.6
Asian and Pacific Islander Non-Hispanic,Male,10.2,7.5,13.6
Asian and Pacific Islander Non-Hispanic,Female,7.4,5.5,9.9
Black Non-Hispanic,Male,24.7,20.3,29.7
Black Non-Hispanic,Female,12.8,10.5,15.6
White Non-Hispanic,Male,9.4,8.2,10.7
White Non-Hispanic,Female,7.3,6.4,8.4
