Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,45,33.3,59.1
Hispanic,Female,41.3,31.7,52.7
Asian and Pacific Islander Non-Hispanic,Male,35.8,25.7,48.8
Asian and Pacific Islander Non-Hispanic,Female,24.9,16.9,35.6
Black Non-Hispanic,Male,55.8,39.9,75.7
Black Non-Hispanic,Female,37.6,27.2,50.6
White Non-Hispanic,Male,47.6,43.2,52.4
White Non-Hispanic,Female,34.8,31.4,38.6
