Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,13.5,11.1,16.4
Hispanic,Female,9.1,7.5,11
Asian and Pacific Islander Non-Hispanic,Male,13.3,10.6,16.4
Asian and Pacific Islander Non-Hispanic,Female,7.4,5.6,9.6
Black Non-Hispanic,Male,17.3,15.3,19.4
Black Non-Hispanic,Female,11.9,10.7,13.3
White Non-Hispanic,Male,14.4,12.9,16
White Non-Hispanic,Female,11.5,10.3,12.8
