Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,44.8,40.4,49.6
Hispanic,Female,27.8,24.9,31
Asian and Pacific Islander Non-Hispanic,Male,45.8,41.1,51
Asian and Pacific Islander Non-Hispanic,Female,31.6,27.9,35.7
Black Non-Hispanic,Male,45.9,42.7,49.2
Black Non-Hispanic,Female,32.9,30.8,35.2
White Non-Hispanic,Male,47.6,44.8,50.5
White Non-Hispanic,Female,36.2,34,38.6
