Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,10.4,8.5,12.5
Hispanic,Female,6,4.8,7.4
Asian and Pacific Islander Non-Hispanic,Male,9,7.5,10.8
Asian and Pacific Islander Non-Hispanic,Female,6.6,5.5,8
Black Non-Hispanic,Male,16.1,13.6,18.9
Black Non-Hispanic,Female,16.1,14.1,18.3
White Non-Hispanic,Male,16.9,15.2,18.7
White Non-Hispanic,Female,11.6,10.3,13
