Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,37.9,34.4,41.6
Hispanic,Female,29.7,27,32.5
Asian and Pacific Islander Non-Hispanic,Male,39.4,36.3,42.7
Asian and Pacific Islander Non-Hispanic,Female,27.2,24.8,29.8
Black Non-Hispanic,Male,45.5,41.3,50.1
Black Non-Hispanic,Female,35.5,32.5,38.7
White Non-Hispanic,Male,47,44,50.2
White Non-Hispanic,Female,35.7,33.2,38.4
