Race,Percentage,CI (95%) - Down,CI (95%) - Upper
White Non-Hispanic,15.0,14.7,15.3
Black Non-Hispanic,15.4,14.7,16.2
American Indian ,26.4,24.2,28.6
Asian and Pacific Islanders,6.3,5.3,7.5
Hispanic,10.4,9.8,11.1
