Race,Percentage,CI (95%) - Down,CI (95%) - Upper
White Non-Hispanic,73.5,73.0,74.0
Black Non-Hispanic,75.0,73.2,76.7
American Indian ,62.5,57.4,67.3
Asian and Pacific Islanders,63.5,58.3,68.5
Hispanic,64.2,61.7,66.7
